ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"161.35.188.95","elite","AS14061","US","DigitalOcean, LLC","87","DigitalOcean, LLC","3128","socks4","907","1","2024-03-06T13:14:42.995Z","95","6025","6357"
"109.86.219.179","elite","AS13188","UA","Triolan","52","N/A","55489","socks4","1993","1","2024-03-06T13:14:42.799Z","97","6289","6455"
"152.32.78.24","elite","AS17639","PH","ComClark Network & Technology Corp","202","Convergeict","4145","socks4","5097","1","2024-03-06T13:14:42.711Z","97","6198","6418"
"103.81.15.113","elite","AS135792","IN","Syswall Telecom Pvt. Ltd.","167","Syswall Telecom Pvt. Ltd.","13579","socks4","1306","1","2024-03-06T13:14:35.098Z","99","6455","6489"
"121.13.252.60","elite","AS4134","CN","Chinanet","235","Chinanet GD","61401","socks4","2202","1","2024-03-06T13:14:34.906Z","87","5497","6296"
"104.19.109.209","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","4806","3","2024-03-06T13:14:34.807Z","100","6315","6316"
"109.87.183.226","elite","AS13188","UA","Triolan","87","N/A","4145","socks5","4911","2","2024-03-06T13:14:27.199Z","88","5543","6321"
"43.153.16.230","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","150","Tencent Cloud Computing","443","socks4","4791","1","2024-03-06T13:14:27.205Z","85","5414","6343"
"182.160.127.53","elite","AS24323","BD","Aamra Networks Limited","154","Aamra Networks Limited","48744","socks4","705","1","2024-03-06T13:14:27.496Z","96","6147","6433"
"139.162.156.92","elite","AS63949","DE","Akamai Technologies, Inc.","11","Linode, LLC","7497","socks5","4401","1","2024-03-06T13:14:27.502Z","98","6193","6334"
"157.230.210.133","elite","AS14061","US","DigitalOcean, LLC","86","DigitalOcean, LLC","80","socks4","2096","82","2024-03-06T13:14:27.214Z","100","6323","6331"
"109.205.243.10","elite","AS56656","SK","Detronics s.r.o","32","Detronics s.r.o.","5678","socks4","1499","1","2024-03-06T13:14:27.413Z","100","6430","6441"
"119.40.82.210","elite","AS24122","BD","BDCOM Online Limited","188","Bdcom","35805","socks4","4308","2","2024-03-06T13:14:27.409Z","99","6229","6298"
"103.251.222.33","elite","AS149208","IN","Rakesh Telesoft","136","Bhomika","4145","socks4","4204","1","2024-03-06T13:14:19.105Z","81","5176","6354"
"111.67.197.147","elite","AS4808","CN","China Unicom Beijing Province Network","187","Beijing yiantianxia Network Science&Technology Co Ltd.","6666","socks5","1097","2","2024-03-06T13:14:19.108Z","86","5483","6404"
"189.106.62.102","elite","AS7738","BR","V tal","180","Telemar Norte Leste S.A.","4145","socks4","2911","4","2024-03-06T13:14:18.804Z","93","5974","6432"
"104.25.42.178","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4707","3","2024-03-06T13:14:18.799Z","100","6327","6327"
"185.245.38.200","elite","AS204623","RU","OOO New Line","81","OOO New Line","4145","socks4","4010","2","2024-03-06T13:14:18.811Z","85","5381","6307"
"45.7.210.195","elite","AS265729","AR","Cooperativa de Servicios Públicos de Porteña LTDA","243","Cooperativa de Servicios Públicos de Porteña LTDA","4153","socks4","1395","1","2024-03-06T13:14:10.506Z","99","6305","6346"
"188.92.242.99","elite","AS25227","RU","JSC Avantel","53","Avantel, Close Joint Stock Company","8088","socks5","3694","2","2024-03-06T13:14:10.896Z","100","6383","6404"
"148.66.142.19","elite","AS26496","SG","GoDaddy.com, LLC","260","Godaddy.com","61481","socks5","1495","1","2024-03-06T13:14:10.810Z","100","6406","6427"
"118.67.170.121","elite","AS4766","KR","Netropy CO.","234","NURILINK","4153","socks4","4497","86","2024-03-06T13:14:01.914Z","99","6402","6440"
"159.65.245.126","elite","AS14061","US","DigitalOcean, LLC","93","Digital Ocean","7497","socks5","4611","1","2024-03-06T13:13:54.006Z","99","6302","6384"
"8.210.119.213","elite","AS45102","HK","Alibaba.com LLC","316","Hong Kong","3304","socks5","4513","2","2024-03-06T13:13:53.502Z","89","5684","6388"
"104.35.140.42","elite","AS20001","US","Charter Communications","153","Spectrum","80","socks4","4390","1","2024-03-06T13:13:53.601Z","100","6262","6267"
"178.212.49.96","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","88","Lubuskie Sieci Swiatlowodowe Sp. z o. o","1080","socks4","415","1","2024-03-06T13:13:45.614Z","98","6200","6319"
"172.104.56.209","elite","AS63949","SG","Akamai Technologies","192","Linode","9050","socks5","2799","2","2024-03-06T13:13:45.402Z","98","6347","6445"
"103.81.117.225","elite","AS135851","IN","Excogitate Technologies Pvt. Ltd","197","Excogitate Technologies Pvt Ltd","4153","socks4","1799","1","2024-03-06T13:13:45.408Z","98","6252","6396"
"103.79.96.165","elite","AS64308","ID","PT IndoDev Niaga Internet","196","PT IndoDev Niaga Internet","4153","socks4","5691","86","2024-03-06T13:13:45.405Z","100","6368","6381"
"149.20.253.101","elite","AS18615","US","Mainstream Fiber Networks, LLC","100","Mainstream Fiber Networks, LLC","12551","socks4","1006","1","2024-03-06T13:13:37.513Z","100","6441","6452"
"182.160.5.234","elite","AS136907","HK","Huawei International Pte. LTD","298","N/A","1080","socks5","1205","1","2024-03-06T13:13:37.398Z","92","5941","6429"
"104.19.138.4","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks4","1491","1","2024-03-06T13:13:37.315Z","100","6365","6365"
"104.21.85.109","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","1505","1","2024-03-06T13:13:37.404Z","100","6414","6416"
"62.109.31.192","elite","AS29182","RU","Cjsc the First","62","TheFirst","20000","socks5","35","2","2024-03-06T13:13:37.511Z","100","39","39"
"157.185.161.100","elite","AS54994","CA","Meteverse Limited.","188","Meteverse Limited","26589","socks5","112","2","2024-03-06T13:13:37.304Z","100","6173","6182"
"197.234.13.25","elite","AS36902","SC","Intelvision","258","Intelvision Ltd","4145","socks4","4098","2","2024-03-06T13:13:37.301Z","99","6327","6364"
"141.94.106.133","elite","AS16276","FR","OVH SAS","6","OVH","8080","socks4","4596","81","2024-03-06T13:13:37.309Z","100","6318","6345"
"103.228.246.30","elite","AS59282","ID","PT Giga Patra Multimedia","172","GPM","5678","socks4","4602","1","2024-03-06T13:13:30.207Z","98","6258","6401"
"173.212.220.213","elite","AS51167","DE","Contabo GmbH","19","Contabo GmbH","4392","socks5","512","1","2024-03-06T13:13:30.204Z","64","4157","6445"
"186.251.255.61","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","232","Seanet Telecom Carazinho Eireli","31337","socks4","4399","1","2024-03-06T13:13:29.909Z","100","6249","6280"
"61.178.55.53","elite","AS4134","CN","Chinanet","196","N/A","10800","socks4","4490","2","2024-03-06T13:13:29.998Z","85","5388","6347"
"47.243.31.48","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","308","Alibaba.com LLC","45102","socks5","2214","1","2024-03-06T13:13:29.905Z","85","5493","6446"
"103.47.93.201","elite","AS134058","IN","Broban Internet Services Pvt.ltd","193","Broban  PVT Ltd.","1080","socks4","3604","2","2024-03-06T13:13:29.811Z","99","6372","6424"
"109.73.176.20","elite","AS49924","IT","ECROM-MAIN","81","N/A","4145","socks4","5591","7","2024-03-06T13:13:22.510Z","95","6083","6395"
"43.135.161.203","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","165","Tencent Cloud Computing","443","socks4","3707","85","2024-03-06T13:13:22.002Z","84","5349","6341"
"186.126.56.195","elite","AS7303","AR","Telecom Argentina S.A.","400","Telecom Personal Bs","1080","socks5","2593","2","2024-03-06T13:13:21.908Z","39","2448","6274"
"46.254.240.106","elite","AS5547","RU","ORTEL","202","N/A","43310","socks4","4403","2","2024-03-06T13:13:21.911Z","98","6323","6469"
"54.38.242.224","elite","AS16276","FR","OVH SAS","93","OVH","31143","socks5","228","86","2024-03-06T13:13:14.603Z","87","5597","6455"
"110.78.149.235","elite","AS131090","TH","CAT-BB","292","N/A","4145","socks4","3305","2","2024-03-06T13:13:14.601Z","74","4732","6398"
"185.238.228.67","elite","AS209242","GB","Cloudflare London, LLC","12","Invermae Solutions SL","80","socks4","4894","1","2024-03-06T13:13:14.409Z","100","6442","6442"
"5.189.130.207","elite","AS51167","DE","Contabo GmbH","18","Contabo GmbH","10036","socks4","3682","1","2024-03-06T13:13:14.605Z","99","6347","6391"
"203.13.32.218","elite","AS209242","CY","Cloudflare London, LLC","12","Lachtaristo Holdings Limited","80","socks4","4406","1","2024-03-06T13:13:14.314Z","100","6352","6352"
"201.144.20.231","elite","AS8151","MX","UNINET","193","Gestión de direccionamiento UniNet","5678","socks4","5013","1","2024-03-06T13:13:06.404Z","93","5964","6419"
"91.240.63.215","elite","AS57474","IR","Nazhin Sepahan IT and data processing plc","181","Nazhin Sepahan IT and data processing plc","5678","socks4","1602","3","2024-03-06T13:13:06.602Z","43","2771","6421"
"172.67.200.220","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","2702","2","2024-03-06T13:13:06.406Z","100","6347","6348"
"180.210.222.209","elite","AS203363","GB","Mohammad Saydur Rahman Zia","15","N/A","1080","socks4","2699","1","2024-03-06T13:12:58.399Z","71","4498","6361"
"51.83.34.150","elite","AS16276","FR","OVH SAS","8","OVH","34214","socks5","4901","1","2024-03-06T13:12:58.314Z","100","6307","6313"
"183.89.148.233","elite","AS45629","TH","Triple T Broadband Public Company Limited","189","Triple T Broadband Public Company Limited","8080","socks4","689","1","2024-03-06T13:12:58.196Z","89","5653","6334"
"46.227.37.49","elite","AS51155","PL","Telemedian - TB Telecom","83","Telemedian","1088","socks4","4986","2","2024-03-06T13:12:58.402Z","100","6255","6273"
"170.80.91.13","elite","AS264820","CR","Corebases S.A","164","Corebases S.A","4145","socks4","4391","1","2024-03-06T13:12:58.111Z","100","6425","6445"
"212.83.130.68","elite","AS12876","FR","Online S.A.S.","2","ONLINE","59480","socks4","3103","1","2024-03-06T13:12:58.102Z","100","6370","6375"
"103.239.200.226","elite","AS17970","PH","Sky Cable Corporation","217","TRI PH","1337","socks4","4309","3","2024-03-06T13:12:42.200Z","90","5768","6416"
"202.159.6.242","elite","AS9340","ID","PT IndoInternet","180","N/A","5678","socks4","344","2","2024-03-06T13:12:42.298Z","99","6305","6357"
